Nitrogen,Phosphorous,Potassium,Temperature,Humidity,Moisture,Soil Type,Crop Type,Fertilizer Name
4,17,17,30,60,27,Red,Tobacco,10-26-26
4,17,17,30,60,27,Red,Tobacco,10-26-26
4,17,17,30,60,27,Red,Tobacco,10-26-26
6,16,19,25,50,40,Clayey,Pulses,10-26-26
6,16,19,25,50,40,Clayey,Pulses,10-26-26
6,16,19,25,50,40,Clayey,Pulses,10-26-26
7,20,16,26,52,36,Clayey,Pulses,10-26-26
7,20,16,26,52,36,Clayey,Pulses,10-26-26
7,20,16,26,52,36,Clayey,Pulses,10-26-26
6,21,19,34,65,45,Clayey,Paddy,10-26-26
6,21,19,34,65,45,Clayey,Paddy,10-26-26
6,21,19,34,65,45,Clayey,Paddy,10-26-26
5,15,18,28,54,47,Sandy,Barley,10-26-26
5,15,18,28,54,47,Sandy,Barley,10-26-26
5,15,18,28,54,47,Sandy,Barley,10-26-26
22,5,17,24,91,34,Sandy,orange,10-10-10
22,5,17,24,91,34,Sandy,orange,10-10-10
22,5,17,24,91,34,Sandy,orange,10-10-10
4,5,23,23,93,31,Sandy,orange,10-10-10
4,5,23,23,93,31,Sandy,orange,10-10-10
4,5,23,23,93,31,Sandy,orange,10-10-10
11,5,14,12,95,42,Sandy,orange,10-10-10
11,5,14,12,95,42,Sandy,orange,10-10-10
11,5,14,12,95,42,Sandy,orange,10-10-10
19,6,21,27,80,31,Clayey,kidneybeans,10-10-10
19,6,21,27,80,31,Clayey,kidneybeans,10-10-10
19,6,21,27,80,31,Clayey,kidneybeans,10-10-10
